,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
1130,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1142,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1144,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
1146,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
1148,Tata,Harrier,First,38000,Diesel,2021,Black,5,14.63,21.85,18.91
1150,Volkswagen,Passat,First,42799,Diesel,2018,Grey,5,17.42,21.5,26.34
1153,Mercedes-Benz,GL,Second,89000,Diesel,2014,Silver,7,12.585,31,32.83
1154,Toyota,Innova,First,75820,Diesel,2015,Silver,8,12.585,11.11,10.97
1158,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1176,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
1180,Ford,Endeavour,First,61000,Diesel,2021,Gold,7,12.62,37,35.39
1182,Toyota,Innova,First,16500,Diesel,2021,Black,7,15.6,30.5,28.94
1183,Mercedes-Benz,GLA,First,23000,Diesel,2019,Blue,5,12.585,30,30.32
1188,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1201,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1203,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
1205,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
1208,Skoda,Octavia,First,55000,Diesel,2015,Beige,5,19.3,8.95,9.2
1209,BMW,3,Second,41000,Diesel,2017,White,5,21.76,26.5,31.47
1210,Audi,Q7,First,52000,Diesel,2015,Grey,7,12.07,43,29.61
1215,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1223,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1232,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
1235,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
1239,Land,Rover,First,30000,Diesel,2019,Black,5,12.585,1.35,94.52
1240,Ford,Endeavour,First,61000,Diesel,2021,Gold,7,12.62,37,35.39
1243,Ford,Figo,First,64983,Diesel,2013,Red,5,20,2.99,2.76
1247,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1253,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1260,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
1263,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
1264,Mahindra,XUV500,Second,59199,Diesel,2017,White,7,16,10.75,11.11
1265,Renault,Lodgy,First,36298,Diesel,2015,Brown,7,19.97999954,5.35,8.9
1266,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
1269,BMW,7,First,47000,Diesel,2017,White,4,11.1,64.5,62.7
1270,Volkswagen,Passat,First,42799,Diesel,2018,Grey,5,17.42,21.5,26.34
1275,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1290,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1294,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
1296,Ford,Endeavour,First,78000,Diesel,2016,White,7,10.91,26,22.01
1297,Ford,Endeavour,First,61000,Diesel,2021,Gold,7,12.62,37,35.39
1299,Toyota,Fortuner,First,100000,Diesel,2017,Brown,7,12.9,29.99,28.93
1304,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1311,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1321,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
1324,Ford,Endeavour,First,78000,Diesel,2016,White,7,10.91,26,22.01
1328,Audi,A4,First,61648,Diesel,2017,Red,5,12.585,26.5,28.15
1329,Maruti,Suzuki,First,47330,Diesel,2017,White,5,24.29,7.95,7.8
1333,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1336,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1347,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
1350,Mercedes-Benz,GLA,Second,32869,Diesel,2018,White,5,12.585,25,27.45
1352,Maruti,Suzuki,First,47330,Diesel,2017,White,5,24.29,7.95,7.8
1353,Land,Rover,Second,92000,Diesel,2015,White,7,12.585,25.15,23.62
1355,Jeep,Meridian,First,6000,Diesel,2022,Red,7,168,38.95,37.68
1356,Audi,A6[2011-2015],Second,59000,Diesel,2014,White,5,16.66,13.5,16.53
1360,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1375,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
