,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
161,Ford,Endeavour,First,"61,000",Diesel,2021,Gold,7,12.62,37,35.39
162,Maruti,Suzuki,First,"55,411",CNG,2015,Grey,5,58,4.25,4.07
163,Maruti,Suzuki,First,"86,077",CNG,2013,Blue,5,Manual,3.21,3.06
164,Toyota,Innova,Third,"2,55,000",Diesel,2012,Silver,5,Manual,3.21,3.06
165,Maruti,Suzuki,First,"49,000",Petrol,2016,Red,5,21.4,5.45,5.76
166,Mercedes-Benz,GLE,First,"54,000",Diesel,2017,White,5,Automatic,42.75,47.73
167,BMW,5,First,"8,519",Diesel,2020,Blue,5,22.48,55,56.96
168,Maruti,Suzuki,First,"11,736",Petrol,2018,Blue,5,22,6.35,6.52
169,Honda,Jazz,First,"17,847",Petrol,2019,White,5,18.7,6.8,7.75
170,Maruti,Suzuki,First,"10,519",Petrol,2021,Brown,5,20.52,6.8,7.75
171,BMW,X1,First,"4,902",Diesel,2022,Black,5,RWD,43.5,37.9
172,Mercedes-Benz,E-Class,Second,"29,675",Petrol,2011,White,5,12.06,11.25,13.78
173,Audi,Q2,First,"20,000",Petrol,2020,White,5,188,29.25,35.38
174,Hyundai,Santro,First,"2,963",Petrol,2021,Blue,5,20,5.53,6.5
175,Toyota,Yaris,First,"19,785",Petrol,2018,White,5,17.1,7.83,8.57
176,Honda,WR-V,First,"11,002",Petrol,2019,Grey,5,17.5,8.55,8.84
177,Hyundai,Verna,First,"9,434",Petrol,2019,Silver,5,FWD,10.37,10.58
178,Honda,City,Second,"60,621",Petrol,2016,Silver,5,FWD,7.07,7.31
179,Honda,City,First,"90,860",Diesel,2016,Maroon,5,FWD,6.88,7.29
180,Honda,CR-V,Second,"62,577",Petrol,2015,Black,5,13.69999981,8.67,10.84
181,Maruti,Suzuki,First,"49,870",CNG,2020,White,5,30.47,5.6,5.8
182,Tata,Altroz,"{{cityName}},",{{transmission}},|,"7,956",{{color}},5,19.05,7.48,6.01
183,Maruti,Suzuki,Second,"53,092",Petrol,2017,Silver,5,19.12,6.32,7.8
