,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
487,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
488,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
491,Honda,All,First,4642,Petrol,2022,White,5,145,14.25,13.47
493,Maruti,Suzuki,First,32946,Petrol,2020,Brown,5,20.52,5.59,6.41
495,Maruti,Suzuki,First,13000,Petrol,2017,Grey,5,18.7,5.65,5.89
496,Honda,Jazz,First,34356,Petrol,2016,White,5,19,6.25,6.15
498,Kia,Sonet,First,14405,Petrol,2021,Silver,5,18.2,11,9.42
500,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
501,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
503,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
504,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
505,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
506,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
507,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
508,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
509,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
513,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
